,168_wt_1 (GSE66893)_l,168_Dhfq_1 (GSE66893)_l,168_wt_2 (GSE66893)_l,168_Dhfq_2 (GSE66893)_l,168_wt_1 (GSE66893)_r,168_wt_2 (GSE66893)_r,168_Dhfq_1 (GSE66893)_r,168_Dhfq_2 (GSE66893)_r,Bs_WT_rep1 (GSE73315),Bs_WT_rep2 (GSE73315),Bs_WT_rep3 (GSE73315),Bs_ylbM_rep1 (GSE73315),Bs_ylbM_rep2 (GSE73315),Bs_ywlC_rep1 (GSE73315),Bs_ywlC_rep2 (GSE73315),BS_KS400_1 (GSE45824),BS_WT_1 (GSE45824),BS_KS696_1 (GSE45824),BS_WT_2 (GSE45824),BS_KS696_2 (GSE45824),BS_WT_3 (GSE45824),BS_KS400_2 (GSE45824),B. subtilis 168 Day 1 (GSE94788),B. subtilis 168 Day 4 (GSE94788),B. subtilis YK240 Day 1 (GSE94788),B. subtilis YK240 Day 4 (GSE94788),B. subtilis YK240 Day 3 (GSE94788),B. subtilis PG479 Day 4 (GSE61757),B. subtilis 168 Day 1 (GSE61757),B. subtilis PG479 Day 5 (GSE61757),B. subtilis 168 Day 4 (GSE61757),B. subtilis PG479 Day 3 (GSE61757),168_wt_1 (GSE66892),168_wt_2 (GSE66892),168_Dhfq_1 (GSE66892),168_Dhfq_2 (GSE66892),168_wt_1 (GSE66891),168_Dhfq_1 (GSE66891),168_wt_2 (GSE66891),168_Dhfq_2 (GSE66891)
BSU40280,6.568,6.369,6.492000000000001,6.135,9.5736,9.6413,9.35,9.0168,7.5013,7.7518,7.2532,7.079,6.9691,7.335,7.2687,7.945473036,7.9356625670000005,8.244194548,8.148667128,7.966804391,8.152793183,8.098802418,5.155410035,5.17735814,5.172096358,5.477116962,5.2314636430000006,5.408789591000001,5.155410035,5.464722561,5.17735814,5.521931897000001,9.5736,9.6413,9.35,9.0168,6.568,6.369,6.492000000000001,6.135
BSU40290,7.975,8.032,8.031,7.853,8.6154,8.4886,8.6254,8.6863,9.3809,9.9046,9.4391,8.6876,8.7306,8.613999999999999,8.8994,10.34254819,10.26265107,10.50540036,10.07500799,10.51891485,10.19183444,10.41993906,8.973060648999999,9.126193574,9.196315457999999,9.207201587,9.271584596,9.637450417,8.973060648999999,9.684271088,9.126193574,9.52584459,8.6154,8.4886,8.6254,8.6863,7.975,8.032,8.031,7.853
BSU40300,10.089,10.309000000000001,11.027999999999999,10.878,11.1836,11.2312,11.1937,11.1648,12.1124,11.7949,12.1665,11.3026,11.2893,12.1944,11.7846,12.09741823,11.634065300000001,12.36347151,11.67016842,12.53031708,11.70527207,12.07008921,10.95593938,10.98645344,11.45448426,11.40330611,11.28523132,11.95307865,10.95593938,11.68702973,10.98645344,12.02967603,11.1836,11.2312,11.1937,11.1648,10.089,10.309000000000001,11.027999999999999,10.878
BSU40310,10.357000000000001,10.583,11.649000000000001,11.356,11.9225,12.0838,12.2681,12.3537,12.2404,12.2377,12.9456,11.7146,11.8735,12.8801,13.4771,10.45556369,10.49456177,10.72632854,10.23810993,10.96769963,9.650074874,11.22328513,10.25046715,10.376641099999999,10.39722832,10.49019053,10.67709414,11.56610005,10.25046715,10.99298881,10.376641099999999,11.54612294,11.9225,12.0838,12.2681,12.3537,10.357000000000001,10.583,11.649000000000001,11.356
BSU40320,10.880999999999998,10.352,9.754,9.907,10.0306,9.9363,10.164,9.9506,10.875,12.2784,12.4945,14.5998,14.5073,15.8113,16.0611,11.74595678,12.78405321,11.49957965,12.87694699,11.66719801,12.89723107,11.94776751,12.73586823,12.58772923,12.38143432,11.95057488,12.41504956,12.12865559,12.73586823,12.09286732,12.58772923,11.97258549,10.0306,9.9363,10.164,9.9506,10.880999999999998,10.352,9.754,9.907
BSU40330,10.814,10.409,9.802,9.935,9.9573,9.9335,9.8685,9.8428,10.5304,12.1964,12.5392,14.8672,14.7955,16.0048,16.2114,10.91257296,11.88782075,10.50715621,11.89845756,10.48378656,11.86098587,10.7586935,12.48112126,12.39017262,11.98641578,11.77368375,12.24041701,12.02045051,12.48112126,12.00783575,12.39017262,11.84541013,9.9573,9.9335,9.8685,9.8428,10.814,10.409,9.802,9.935
BSU40340,9.015,9.027999999999999,9.707,9.26,9.3564,9.3421,9.2273,9.0447,10.4783,12.4144,12.6483,14.9897,14.9,16.0805,16.2721,10.96617243,11.95620643,10.94197876,11.82581517,10.94442406,11.98860939,10.96929967,11.91221993,11.19714267,10.51231883,11.07492246,11.12284317,12.17186668,11.91221993,11.70153596,11.19714267,12.00701285,9.3564,9.3421,9.2273,9.0447,9.015,9.027999999999999,9.707,9.26
BSU40350,9.021,9.124,10.085,9.355,7.8682,7.9053,8.0771,7.9454,11.2814,10.7754,11.0539,10.6111,10.6578,9.5628,9.9628,11.32554198,11.26401088,11.40706395,11.02183938,11.4665913,11.20003821,11.22817123,10.6003455,10.57096327,10.48419049,10.84010668,10.47472182,11.16864811,10.6003455,11.12780235,10.57096327,11.37944549,7.8682,7.9053,8.0771,7.9454,9.021,9.124,10.085,9.355
BSU40360,12.573,12.427999999999999,11.908,11.806,10.2805,10.2837,10.4023,10.3091,11.517000000000001,11.6257,11.4557,12.1382,12.15,11.8059,11.3045,13.49093465,14.12720489,13.624066199999998,14.03798004,13.65888973,14.12622877,13.55930449,13.74764171,13.86847861,13.51753015,13.54349401,13.59280449,13.70759289,13.74764171,13.46544438,13.86847861,13.59280449,10.2805,10.2837,10.4023,10.3091,12.573,12.427999999999999,11.908,11.806
BSU40370,12.845,12.785,12.535,12.238,10.5332,10.4885,10.4124,10.3001,12.1556,11.8834,11.6206,12.5005,12.2732,12.383,12.0182,14.15735465,14.74618536,14.38508566,14.74589539,14.29509388,14.75956477,14.33285193,13.87833965,13.80967289,13.69332089,13.60218071,13.66892058,13.96976059,13.87833965,13.52431734,13.80967289,13.68219776,10.5332,10.4885,10.4124,10.3001,12.845,12.785,12.535,12.238
